,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
3789,Single Family Residential,152 S Arden Blvd,Los Angeles,90004,1750000,Hancock Park-Wilshire,1895.0,1921.0,24-349935,34.0715553,-118.3256806,2848,2654.16389230415,2303,17.0,17.0
3792,Unknown,3810 Lavell Dr,Glassell Park,90065,1450000,Glassell Park,2290.0,1978.0,224000060,34.1141701,-118.227158,1672,3854.01369568692,3124,9.0,1.0
3793,Multi-Family,1674 W 25th St,Los Angeles,90007,1450000,C16 - Mid Los Angeles,4064.0,1914.0,CV24003242,34.0334532,-118.2997319,2077,1092.8856486363,2237,28.0,8.0
3797,Single Family Residential,5839 Ostrom Ave,Encino,91316,1399900,ENC - Encino,1602.0,1956.0,SR24002387,34.1774738,-118.5070377,1301,2974.71609959079,14547,4.0,0.0
3798,Single Family Residential,2106 Barrywood Ave,San Pedro,90731,1389000,San Pedro - North,1934.0,1965.0,24-343824,33.7639689,-118.2958996,2405,3327.60035724829,11430,4.0,0.0
3799,Single Family Residential,5552 Carlin St,Los Angeles,90016,1499000,PHHT - Park Hills Heights,2768.0,1963.0,PW23219344,34.0309836,-118.364664,915,1511.50815432225,1037,31.0,14.0
3800,Multi-Family,1414 W 30th St,Los Angeles,90007,1380000,Mid Los Angeles,3954.0,1922.0,24-343689,34.0270297,-118.2950268,2809,1945.62595534417,1242,36.0,7.0
3801,Single Family Residential,226 S Rampart Blvd,Los Angeles,90057,1400000,Downtown L.A.,3058.0,1911.0,23-341815,34.0675956,-118.2775804,789,669.865119972701,1538,50.0,6.0
3803,Multi-Family,741 N Harvard Blvd,Los Angeles,90029,1395000,Hollywood,1928.0,1921.0,23-340555,34.0847399,-118.3042865,1955,2117.60609163264,1561,37.0,17.0
3804,Single Family Residential,4722 Greenbush Ave,Sherman Oaks,91423,1499999,Sherman Oaks,1517.0,1948.0,24-343119,34.1564545,-118.4255062,4365,2717.48637285856,5658,15.0,1.0
3806,Multi-Family,5134-5132 Biloxi Ave,North Hollywood,91601,1450000,North Hollywood,1478.0,1939.0,P1-16081,34.1641906,-118.3580432,3258,3469.45863505482,2168,10.0,3.0
3809,Multi-Family,1678 Roosevelt Ave,Los Angeles,90006,1428000,Mid Los Angeles,2212.0,1905.0,23-321311,34.0428158,-118.3015815,1953,1307.06046373881,2544,40.0,16.0
3810,Multi-Family,1038 W 21st St,Los Angeles,90007,1450888,C42 - Downtown L.A.,6006.0,1914.0,CV23230167,34.0360178,-118.2819832,1194,1444.21366774948,1315,42.0,3.0
3811,Single Family Residential,8430 Haskell Ave,North Hills,91343,1500000,NOH - North Hills,1573.0,1954.0,GD23229456,34.2239491,-118.4761111,2697,1478.70813341513,13337,16.0,0.0
3814,Multi-Family,1015 S Plymouth Blvd,Los Angeles,90019,1430000,Hancock Park-Wilshire,2452.0,1924.0,23-337735,34.0555837,-118.326994,1423,2802.33092393465,2189,25.0,4.0
3815,Multi-Family,5441-5443 Lemon Grove Ave,Hollywood,90038,1375000,C20 - Hollywood,2812.0,1954.0,DW23222934,34.0868761,-118.3129087,1984,1873.39935864213,2067,26.0,18.0
3816,Multi-Family,1163 W 38th St,Los Angeles,90037,1550000,Los Angeles Southwest,1715.0,1922.0,24-349681,34.017403,-118.2963529,2671,2817.02507895092,547,36.0,4.0
3817,Single Family Residential,5651 Radford Ave,Valley Village,91607,1399000,VVL - Valley Village,1574.0,1954.0,SR23226409,34.1736774,-118.3924168,1311,6602.6100343551,1871,21.0,4.0
3818,Condo/Co-op,825 N Croft Ave #103,Los Angeles,90069,1499000,West Hollywood Vicinity,1782.0,2021.0,23-339501,34.086042,-118.374534,5493,1505.72457112606,4515,35.0,4.0
3822,Multi-Family,5431-5433 Lemon Grove Ave,Hollywood,90038,1375000,C20 - Hollywood,2251.0,1925.0,DW23222212,34.086937,-118.312536,1991,1898.25508494947,2049,28.0,19.0
3823,Single Family Residential,27514 S Skylily Way,San Pedro,90732,1451773,193 - San Pedro - North,2542.0,2023.0,SR23219290,33.7698907,-118.3064452,3523,2801.05663543642,12554,6.0,0.0
3824,Single Family Residential,3800 Virginia Rd,Los Angeles,90008,1499000,PHHT - Park Hills Heights,1914.0,1941.0,IG23221313,34.0172242,-118.3390493,2742,4122.57597491738,810,24.0,1.0
3830,Single Family Residential,4851 Angeles Vista Blvd,View Park,90043,1449000,Park Hills Heights,2075.0,1930.0,23-336231,33.998548762,-118.3352908,1119,4943.58609272781,806,18.0,6.0
3832,Vacant Land,9229 Crescent Dr,Los Angeles,90046,1495000,Sunset Strip - Hollywood Hills West,3223.827432733158,1962.9808163265307,23-335371,34.1065099,-118.3914319,3379,4232.85804633273,5523,0.0,0.0
3833,Multi-Family,5073 Edgewood Pl,Los Angeles,90019,1499000,Hancock Park-Wilshire,3138.0,1935.0,23-335211,34.055565,-118.341248,2973,2126.13449828781,3709,26.0,14.0
3834,Multi-Family,1387 W 30th St,Los Angeles,90007,1380000,Mid Los Angeles,2052.0,1905.0,23-334751,34.0274357,-118.2941912,2761,1992.06224110198,1269,36.0,8.0
3835,Single Family Residential,17803 Rhoda St,Encino,91316,1374900,ENC - Encino,1443.0,1949.0,CV23215756,34.1754388,-118.5203084,2710,1506.83906175375,16001,11.0,0.0
3836,Single Family Residential,4916 Bluebell Ave,Valley Village,91607,1468000,VVL - Valley Village,2026.0,1954.0,P1-15844,34.1599912,-118.4115167,4099,4225.79480427152,4029,24.0,6.0
3838,Multi-Family,726 W 76th St,Los Angeles,90044,1399900,C34 - Los Angeles Southwest,2864.0,1925.0,PW23215795,33.9705465,-118.2863386,222,7380.71021892668,4813,26.0,4.0
3839,Condo/Co-op,13031 Villosa Pl #129,Playa Vista,90094,1450000,C39 - Playa Vista,2010.0,2007.0,OC23212591,33.9743323,-118.4229699,1613,2100.1833557718,5655,8.0,14.0
3843,Multi-Family,3319 Primera Ave,Los Angeles,90068,1399000,Hollywood Hills East,1764.0,1936.0,23-331045,34.1309998,-118.3443457,1827,3925.7001512555103,2374,11.0,1.0
3845,Multi-Family,302 W 107th St,Los Angeles,90003,1399000,C37 - Metropolitan South,1914.0,1940.0,IN23201153,33.9390782,-118.2786766,1055,4507.76744961283,1416,19.0,1.0
3846,Multi-Family,2225 Berkeley Ave,Los Angeles,90026,1379000,671 - Silver Lake,2214.0,1911.0,SR23209692,34.0846633,-118.2617601,2225,1922.21007564076,3409,22.0,14.0
3847,Vacant Land,4136 Rosewood Ave,Los Angeles,90004,1495000,Mid-Wilshire,3223.827432733158,1962.9808163265307,23-330457,34.0787442,-118.2946482,1651,1789.48038895053,444,41.0,20.0
3848,Single Family Residential,5824 Mammoth Ave,Valley Glen,91401,1398000,VG - Valley Glen,2241.0,1956.0,SR23202147,34.17656,-118.4321166,5587,2920.96514312205,6251,24.0,3.0
3851,Single Family Residential,4115 Jennings Dr,Los Angeles,90032,1500000,676 - Monterey Hills,2668.0,2023.0,CV23207465,34.0931641,-118.1731788,1314,3275.96721517313,3246,9.0,2.0
3852,Single Family Residential,3936 Roderick Rd,Los Angeles,90065,1399900,Glassell Park,1622.0,1936.0,23-329039,34.1208839,-118.2310759,1295,3089.66890809197,4077,12.0,4.0
3853,Single Family Residential,1943 Sunset Plaza Dr,Los Angeles,90069,1550000,C03 - Sunset Strip - Hollywood Hills West,1746.0,1978.0,SR23205635,34.1041084,-118.3814616,4213,3749.09567718737,4789,0.0,0.0
3856,Single Family Residential,4061 Minerva Ave,Culver City,90066,1395000,C28 - Culver City,1399.0,1940.0,SR23202277,34.0041939,-118.4180673,3094,3470.10563171966,3708,3.0,6.0
3857,Multi-Family,1346 W 57th St,Los Angeles,90037,1395000,C34 - Los Angeles Southwest,3783.0,1940.0,SB23203408,33.9908327,-118.2996261,1534,5769.15577687618,3490,25.0,8.0
3858,Single Family Residential,2001 S Redondo Blvd,Los Angeles,90016,1500000,LOS ANGELES,2292.0,1941.0,ML81946772,34.040093,-118.3534896,2459,2359.37728605079,2062,24.0,2.0
3862,Multi-Family,15245 Valleyheart Dr,Sherman Oaks,91403,1500000,SO - Sherman Oaks,2440.0,1953.0,SR23196064,34.1618534,-118.465653,3769,1813.20714174143,9930,10.0,2.0
3865,Multi-Family,1275 W 37th Dr,Los Angeles,90007,1500000,C36 - Metropolitan Southwest,1786.0,1909.0,MB23198085,34.0192654,-118.2967633,2919,2580.0416360247,597,38.0,3.0
3866,Multi-Family,14810 Sylvan St,Van Nuys,91411,1499000,East Van Nuys,3576.0,1950.0,23-324267,34.184342,-118.455897,4116,1538.24117757856,9058,25.0,3.0
3871,Single Family Residential,5306 Oakland St,Los Angeles,90032,1450000,El Sereno,1432.0,1962.9808163265307,23-322669,34.0885542,-118.1666722,766,2537.02213244188,3711,12.0,1.0
3874,Single Family Residential,3310 Oakley Dr,Los Angeles,90068,1495000,C03 - Sunset Strip - Hollywood Hills West,2400.0,1968.0,SR23190853,34.13096,-118.3556685,1396,4645.95803135718,1446,10.0,3.0
3875,Single Family Residential,6635 Lemp Ave,North Hollywood,91606,1499000,NHO - North Hollywood,1182.0,1929.0,GD23192932,34.1913687,-118.3847896,1804,6224.46168107296,3202,22.0,3.0
3878,Single Family Residential,1017 S Norton Ave,Los Angeles,90019,1470000,Hancock Park-Wilshire,1913.0,1920.0,23-320495,34.0534603,-118.3212725,733,2382.04270090761,1778,27.0,16.0
3879,Multi-Family,1325 S Mansfield Ave,Los Angeles,90019,1550000,Beverly Center-Miracle Mile,3087.0,1937.0,23-306181,34.0496793,-118.3453899,3422,1934.7657688641,3453,20.0,12.0
3881,Single Family Residential,1203 N Garbo Ln,Los Angeles,90038,1450000,Hollywood,2345.0,2013.0,23-319429,34.0927372,-118.3368576,2267,1395.97673112962,1199,28.0,14.0
3883,Single Family Residential,6055 W 74th St,Los Angeles,90045,1420000,Westchester,1365.0,1950.0,24-349213,33.9742261,-118.3911628,4682,2542.62301028687,2484,3.0,4.0
3884,Single Family Residential,2559 Corralitas Dr,Silver Lake,90039,1520000,671 - Silver Lake,1636.0,1929.0,SR24010037,34.1001696,-118.2524271,1351,3321.80608509829,4390,24.0,7.0
3890,Single Family Residential,3726 Hawley Ave,Los Angeles,90032,1388000,621 - El Sereno,2432.0,2011.0,AR24010047,34.0900613,-118.1904146,1303,3579.40280208471,2121,14.0,0.0
3895,Multi-Family,1106 W 91st St,Los Angeles,90044,1400000,C37 - Metropolitan South,2589.0,1956.0,SR24007377,33.9541584,-118.2941003,983,6045.7219503919905,3428,24.0,0.0
3897,Multi-Family,1221 5th Ave,Los Angeles,90019,1550000,C17 - Mid-Wilshire,4004.0,1921.0,SR24004569,34.0492913,-118.3218802,888,2331.44032896817,2215,38.0,19.0
3904,Single Family Residential,101 S Mariposa,Los Angeles,90004,2100000,KREA - Koreatown,1890.0,1910.0,CV21218540,34.0726243,-118.2996901,1502,1283.78266093968,1033,30.0,13.0
3906,Vacant Land,2227 Brawley St,Los Angeles,90032,1990000,699 - Not Defined,3223.827432733158,1962.9808163265307,AR20260474,34.0710493,-118.1785883,3430,2828.44811476465,4425,21.0,0.0
3919,Single Family Residential,765 Mccarthy,Los Angeles,90048,2395000,C19 - Beverly Center-Miracle Mile,2629.0,1933.0,SB23207362,34.06199718,-118.3673555,2468,819.5996432388339,4817,26.0,10.0
3920,Single Family Residential,3448 Ardsley Pl,Encino,91436,2350000,Encino,2030.0,1966.0,24-359477,34.1318685,-118.5031585,5760,3865.2705129784495,14465,0.0,0.0
3921,Single Family Residential,4436 Campbell Dr,Los Angeles,90066,2299000,C13 - Palms - Mar Vista,2019.0,1924.0,RS24032321,33.9937535,-118.4222153,1667,2486.60870759074,5178,8.0,21.0
3925,Single Family Residential,10525 Louisiana Ave,Los Angeles,90025,2199000,WLA - West Los Angeles,2076.0,1929.0,SR24031919,34.0493667,-118.4234069,2961,3272.17154190567,1691,4.0,13.0
3927,Single Family Residential,3050 Arrowhead Dr,Los Angeles,90068,2399000,Hollywood Hills East,2449.0,1973.0,24-354213,34.1247553,-118.3270632,312,3812.3137309577505,3116,0.0,0.0
3930,Single Family Residential,10640 Butterfield Rd,Los Angeles,90064,2275000,Cheviot Hills - Rancho Park,1961.0,1953.0,24-358378,34.0361717,-118.4173743,3778,2865.49652191344,806,0.0,4.0
3931,Single Family Residential,2341 San Marco Dr,Los Angeles,90068,2450000,Hollywood Hills East,2250.0,1942.0,24-358353,34.1138392,-118.331344,1854,2438.217016237,1779,8.0,2.0
