SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,ESCHOOL,HSCHOOL,BUS_COUNTS,FnB_COUNTS
MLS Listing,,Townhouse,443 S Gramercy Pl Unit B,Los Angeles,CA,90020,680000,2.00000000000,2.00000000000,HPK - Hancock Park,1196.00000000000,15045.00000000000,1981.00000000000,46,569.00000000000,250.0,Active,https://www.redfin.com/CA/Los-Angeles/443-S-Gramercy-Pl-90020/unit-B/home/7090758,CRMLS,SR24001587,N,Y,34.06573950000,-118.31320860000,1806,1082.114899326520000,736,LOS ANGELES USD,LOS ANGELES USD,42.000000000000000,26.000000000000000
MLS Listing,,Single Family Residential,13033 Kamloops St,Pacoima,CA,91331,719950,3.00000000000,2.00000000000,PAC - Pacoima,1112.00000000000,5000.00000000000,1942.00000000000,46,647.00000000000,,Active,https://www.redfin.com/CA/Pacoima/13033-Kamloops-St-91331/home/5608661,CRMLS,SR24001400,N,Y,34.25202110000,-118.41648170000,202,2765.829412399780000,12078,LOS ANGELES USD,LOS ANGELES USD,16.000000000000000,1.000000000000000
MLS Listing,,Condo/Co-op,400 S Broadway #1314,Los Angeles,CA,90013,705000,1.00000000000,1.00000000000,C42 - Downtown L.A.,903.00000000000,36291.00000000000,2021.00000000000,47,781.00000000000,782.0,Active,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-1314/home/173209479,CRMLS,AR24000924,N,Y,34.04925950000,-118.24940550000,818,1270.541497443150000,206,LOS ANGELES USD,LOS ANGELES USD,106.000000000000000,240.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),800 W 92nd St,Los Angeles,CA,90044,649000,4.00000000000,2.00000000000,C36 - Metropolitan Southwest,1090.00000000000,8144.00000000000,1918.00000000000,47,595.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/800-W-92nd-St-90044/home/7296076,CRMLS,DW23228066,N,Y,33.95263340000,-118.28954710000,685,6507.931385572270000,3222,LOS ANGELES USD,LOS ANGELES USD,23.000000000000000,0.000000000000000
MLS Listing,,Condo/Co-op,14159 Dickens St #110,Sherman Oaks,CA,91423,739000,1.00000000000,2.00000000000,SO - Sherman Oaks,1212.00000000000,28167.00000000000,1973.00000000000,48,610.00000000000,645.0,Active,https://www.redfin.com/CA/Sherman-Oaks/14159-Dickens-St-91423/unit-110/home/4835679,CRMLS,SR23231757,N,Y,34.14864810000,-118.44197340000,3840,1773.672590353880000,7730,LOS ANGELES USD,LOS ANGELES USD,14.000000000000000,5.000000000000000
MLS Listing,,Townhouse,18424 Keswick St #1,Reseda,CA,91335,699000,3.00000000000,3.00000000000,RES - Reseda,1579.00000000000,62741.00000000000,1990.00000000000,50,443.00000000000,430.0,Active,https://www.redfin.com/CA/Reseda/18424-Keswick-St-91335/unit-1/home/3790080,CRMLS,SR23231631,N,Y,34.21003180000,-118.53467730000,6456,1401.237965098010000,18441,LOS ANGELES USD,LOS ANGELES USD,16.000000000000000,10.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),1300 E 108th St,Los Angeles,CA,90059,725000,5.00000000000,2.00000000000,WATT - Watts,1918.00000000000,5854.00000000000,1944.00000000000,51,378.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/1300-E-108th-St-90059/home/7314947,CRMLS,PW23231043,N,Y,33.93763380000,-118.25213690000,434,2160.020436488050000,1173,LOS ANGELES USD,LOS ANGELES USD,26.000000000000000,3.000000000000000
MLS Listing,,Condo/Co-op,9433 N Sepulveda Blvd #24,North Hills,CA,91343,658900,2.00000000000,2.50000000000,NOH - North Hills,1343.00000000000,108900.00000000000,2023.00000000000,52,491.00000000000,543.0,Active,https://www.redfin.com/CA/North-Hills/9433-Sepulveda-Blvd-91343/unit-24/home/189031148,CRMLS,SR23230786,N,Y,34.24195520000,-118.46844410000,3615,1935.338308554890000,14205,LOS ANGELES USD,LOS ANGELES USD,22.000000000000000,4.000000000000000
MLS Listing,,Condo/Co-op,14300 Terra Bella St #12,Panorama City,CA,91402,660000,3.00000000000,3.00000000000,PC - Panorama City,1680.00000000000,109332.00000000000,1990.00000000000,53,393.00000000000,115.0,Active,https://www.redfin.com/CA/Panorama-City/14300-Terra-Bella-St-91402/unit-12/home/5640100,CRMLS,IV23218585,N,Y,34.23806170000,-118.44576630000,2662,2415.519232514070000,12107,LOS ANGELES USD,LOS ANGELES USD,26.000000000000000,9.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),140 W 47th St,Los Angeles,CA,90037,725000,5.00000000000,3.00000000000,Downtown L.A.,1740.00000000000,5648.00000000000,1922.00000000000,53,417.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/140-W-47th-St-90037/home/6923999,TheMLS,23-341917,N,Y,34.00082440000,-118.27552500000,1265,3645.357066785110000,2598,LOS ANGELES USD,LOS ANGELES USD,41.000000000000000,2.000000000000000
MLS Listing,,Condo/Co-op,100 S Doheny Dr #402,Los Angeles,CA,90048,649000,1.00000000000,1.50000000000,699 - Not Defined,719.00000000000,90114.00000000000,1971.00000000000,55,903.00000000000,830.0,Active,https://www.redfin.com/CA/Los-Angeles/100-S-Doheny-Dr-90048/unit-402/home/6815208,CRMLS,SR23229673,N,Y,34.07470510000,-118.38933940000,4222,946.206988193823000,6289,LOS ANGELES USD,LOS ANGELES USD,19.000000000000000,2.000000000000000
MLS Listing,,Condo/Co-op,5800 Owensmouth Ave #42,Woodland Hills,CA,91367,680000,3.00000000000,2.00000000000,WHLL - Woodland Hills,1296.00000000000,231253.00000000000,1980.00000000000,58,525.00000000000,540.0,Active,https://www.redfin.com/CA/Woodland-Hills/5800-Owensmouth-Ave-91367/unit-42/home/4008952,CRMLS,V1-21301,N,Y,34.17582240000,-118.59963000000,3456,1303.848295726190000,24443,LOS ANGELES USD,LOS ANGELES USD,23.000000000000000,22.000000000000000
MLS Listing,,Townhouse,5229 Balboa Blvd #30,Encino,CA,91316,694900,3.00000000000,2.50000000000,ENC - Encino,1742.00000000000,91106.00000000000,1965.00000000000,58,399.00000000000,450.0,Active,https://www.redfin.com/CA/Encino/5229-Balboa-Blvd-91316/unit-30/home/4782402,CRMLS,SR23228757,N,Y,34.16611320000,-118.50197360000,1283,2079.477110596240000,13937,LOS ANGELES USD,LOS ANGELES USD,14.000000000000000,8.000000000000000
MLS Listing,,Single Family Residential,1256 W 64th St,Los Angeles,CA,90044,689999,3.00000000000,2.00000000000,Los Angeles,1156.00000000000,2801.00000000000,1929.00000000000,59,597.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/1256-W-64th-St-90044/home/7278140,CRMLS,P1-16008,N,Y,33.98126710000,-118.29790500000,1746,6829.548245692280000,3779,LOS ANGELES USD,LOS ANGELES USD,31.000000000000000,1.000000000000000
