,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
2482,Condo/Co-op,2712 W Haddon Ave #2,Chicago,60622,449500,CHI - West Town,1204.0,2000.0,11953936,41.9022329,-87.6950322,247,560,2251,42,21
2483,Multi-Family,861 N Francisco Ave,Chicago,60622,535000,CHI - West Town,2025.4227820372398,1910.0,11968432,41.8974571,-87.6989496,424,507,2003,52,20
2484,Condo/Co-op,2629 W Chicago Ave #3,Chicago,60622,484000,CHI - West Town,1700.0,2006.0,11923915,41.8954607,-87.6929586,284,1095,1720,46,32
2485,Condo/Co-op,2714 W Cortez St #3,Chicago,60622,689000,CHI - West Town,1700.0,2023.0,11824180.0,41.9006099,-87.6950196,421,520,2387,52,36
2487,Condo/Co-op,2405 W Iowa St #205,Chicago,60622,645000,CHI - West Town,2025.4227820372398,2022.0,11963747.0,41.8976449,-87.6871713,55,848,2109,43,37
2488,Condo/Co-op,2611 W Haddon Ave Unit 3W,Chicago,60622,729000,CHI - West Town,2025.4227820372398,2024.0,11963225.0,41.9018325,-87.6924525,535,819,2048,46,34
2489,Multi-Family,1010 N Oakley Blvd,Chicago,60622,999000,CHI - West Town,2025.4227820372398,1915.0,11969496,41.8997839,-87.6847191,304,441,1696,43,68
2490,Multi-Family,2528 W Cortez St,Chicago,60622,1060000,CHI - West Town,2025.4227820372398,1902.0,11968846,41.900522,-87.690635,554,866,2015,44,37
2493,Condo/Co-op,2721 W Haddon Ave Unit 1W,Chicago,60622,775000,CHI - Humboldt Park,2500.0,2020.0,11970443,41.9018655,-87.6953407,252,509,2315,42,24
2494,Condo/Co-op,2405 W Iowa St #305,Chicago,60622,639900,CHI - West Town,2025.4227820372398,2022.0,11971688.0,41.8976449,-87.6871713,55,848,2109,43,37
2495,Condo/Co-op,2512 W Thomas St #1,Chicago,60622,549900,CHI - West Town,2500.0,2002.0,11839844,41.9014083,-87.6900606,606,767,1879,45,38
2496,Multi-Family,829 N Richmond St,Chicago,60622,719999,CHI - West Town,2025.4227820372398,1954.5356613756614,11967829.0,41.8964344,-87.700143,437,655,1878,52,21
2499,Multi-Family,2435 W Superior St,Chicago,60612,1150000,CHI - West Town,2025.4227820372398,1895.0,11840751,41.8946163,-87.6882168,166,1304,1793,48,37
2500,Multi-Family,2751 W Haddon Ave,Chicago,60622,999900,CHI - West Town,2025.4227820372398,1903.0,11756390,41.9017956,-87.6964182,192,392,2373,37,19
2507,Multi-Family,2606 W Haddon Ave,Chicago,60622,1300000,CHI - West Town,2025.4227820372398,2004.0,11956212,41.9022795,-87.6923363,529,847,2000,41,32
2520,Condo/Co-op,3604 N Albany Ave Unit 1E,Chicago,60618,297000,CHI - Irving Park,1050.0,2001.0,11944060,41.9468917,-87.7056335,261,2610,1500,25,13
2521,Single Family Residential,3622 N Kedzie Ave,Chicago,60618,365000,CHI - Irving Park,1160.0,1915.0,11925351.0,41.9473949,-87.7080806,453,2558,1226,31,18
2522,Multi-Family,3805 N Sacramento Ave,Chicago,60618,649900,CHI - Irving Park,2025.4227820372398,1922.0,11966672.0,41.9505364,-87.7027319,519,1977,1883,28,26
2523,Single Family Residential,3648 N Kedzie Ave,Chicago,60618,580000,CHI - Irving Park,2025.4227820372398,1912.0,11948461,41.9480934,-87.7081574,552,2595,1223,34,23
2526,Multi-Family,3615 N Albany Ave,Chicago,60618,699000,CHI - Irving Park,2025.4227820372398,1906.0,11922001.0,41.9471305,-87.7050971,228,2548,1559,24,16
2528,Single Family Residential,3720 N Troy St,Chicago,60618,895000,CHI - Irving Park,3125.0,2007.0,11610911,41.9491479,-87.7069588,588,2425,1377,36,27
2530,Multi-Family,3916 N Richmond St,Chicago,60618,1195000,CHI - Irving Park,2025.4227820372398,1927.0,11931383,41.9527622,-87.702083,441,1663,2004,21,22
2561,Single Family Residential,8018 S Laflin St,Chicago,60620,88000,CHI - Auburn Gresham,1336.0,1920.0,11806178.0,41.7479461,-87.6612148,614,4700,4029,35,1
2563,Ranch,1413 W 79th St,Chicago,60620,75000,CHI - Auburn Gresham,2025.4227820372398,1954.5356613756614,11958319.0,41.7502041,-87.6591793,255,4658,3785,39,1
2564,Single Family Residential,7947 S May St,Chicago,60620,155000,CHI - Auburn Gresham,2200.0,1922.0,11919656,41.7491362,-87.6522107,413,4880,3015,37,1
2565,Single Family Residential,8021 S Loomis Blvd,Chicago,60620,259900,CHI - Auburn Gresham,1312.0,1910.0,11959703,41.7479247,-87.6582479,415,4951,3700,36,1
2566,Single Family Residential,7927 S Loomis Blvd,Chicago,60620,239900,CHI - Auburn Gresham,2201.0,1918.0,11917276,41.7495974,-87.6583249,209,4788,3692,38,1
2567,Multi-Family,8044 S Ada St,Chicago,60620,285000,CHI - Auburn Gresham,2025.4227820372398,1915.0,11893435,41.7473261,-87.6574772,481,5074,3625,35,1
2568,Single Family Residential,8051 S Laflin St,Chicago,60620,285900,CHI - Auburn Gresham,2400.0,1954.5356613756614,11958376,41.7470794,-87.6606369,598,4835,3979,33,1
2569,Single Family Residential,7843 S Ada St,Chicago,60620,114900,CHI - Auburn Gresham,1505.0,1910.0,11933227,41.7510032,-87.6567451,18,4807,3515,38,1
2570,Condo/Co-op,1846 W Birchwood Ave #4,Chicago,60626,147500,CHI - Rogers Park,900.0,1969.0,11918940,42.0182039,-87.677389,154,4420,517,27,8
2571,Condo/Co-op,7553 N Ridge Ave #2,Chicago,60645,179900,CHI - Rogers Park,1000.0,1954.5356613756614,11916036,42.0191817,-87.6844412,784,5003,1286,34,7
2572,Condo/Co-op,7332 N Winchester Ave Unit 1N,Chicago,60626,165000,CHI - Rogers Park,686.0,1949.0,11955760,42.015119,-87.67961,66,4192,953,29,15
2573,Condo/Co-op,2044 W Jarvis Ave Unit 2G,Chicago,60645,145900,CHI - Rogers Park,800.0,1960.0,11683465,42.0153535,-87.6821598,350,4403,1172,30,8
