community,population.density,median.age,Dominant Race,city
Manhattan,,0,White,New York City
Manhattan Valley,82964,44.5,White,New York City
Manhattanville,105106,37.3,Hispanic or Latino,New York City
Midtown,41519,40.5,White,New York City
Midtown West,58923,39.2,White,New York City
Morningside Heights,74744,31.2,White,New York City
Soho,57643,39.7,White,New York City
Sutton Place,85011,60.5,White,New York City
Theatre District,14483,39.7,White,New York City
Tribeca,44568,36.3,White,New York City
Tudor City,84625,35,White,New York City
Turtle Bay,56455,43.6,White,New York City
Two Bridges,54840,41.9,Asian,New York City
Uptown,84276,40.1,White,New York City
Washington Heights,116673,38.1,Hispanic or Latino,New York City
West Side,87484,43.3,White,New York City
West Village,66571,39.7,White,New York City
Yorkville,53532,40,White,New York City
The Bronx,34920,31,Hispanic or Latino,New York City
Borough Park,55000,,White,New York City
Bedford-Stuyvesant,49036,33.7,Black,New York City
Bensonhurst,44161,39.1,White,New York City
Broad Channel,119000,40,White,New York City
Brownsville,35804,41,Black,New York City
Bushiwick,49940,32.2,Hispanic or Latino,New York City
Concourse,101566,33,Hispanic or Latino,New York City
Fordham,87329,31,Hispanic or Latino,New York City
