PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
2200000,5199,101,Multi-Family,909,4301.099289,3034,37,1,Downtown,66111,38.2,White,Los Angeles City
3300000,3224.438916,60.023669,Vacant Land,2237,921.0618835,1348,24,4,Downtown,66111,38.2,White,Los Angeles City
2950000,5221,2,Multi-Family,2666,3141.419012,1740,26,3,Downtown,66111,38.2,White,Los Angeles City
2490000,4761,122,Multi-Family,1446,1175.360873,1054,44,3,Downtown,66111,38.2,White,Los Angeles City
4500000,3224.438916,60.023669,Vacant Land,835,1369.641849,1122,46,9,Downtown,66111,38.2,White,Los Angeles City
475000,524,111,Single Family Residential,2006,1724.449234,699,24,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
490000,748,99,Single Family Residential,4205,887.4825344,2315,20,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
489000,1325,100,Multi-Family,3506,1769.962363,2247,31,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
109950,3224.438916,60.023669,Vacant Land,2945,1998.050701,2527,21,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
599999,590,102,Single Family Residential,4499,183.4417502,2244,23,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
185000,3224.438916,60.023669,Vacant Land,3574,2057.468599,2716,25,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
624900,1608,109,Multi-Family,2951,1847.671204,1702,39,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
509000,1326,99,Multi-Family,1327,1242.196569,1070,20,2,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
615000,1088,103,Multi-Family,2806,1582.010316,1137,27,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
635000,782,122,Single Family Residential,291,473.7995502,626,19,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
599999,1306,118,Single Family Residential,965,739.4293542,356,15,3,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
699000,1694,102,Single Family Residential,752,1012.254654,518,31,6,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
739000,1437,73,Single Family Residential,2456,1732.170402,545,30,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
649000,1332,101,Single Family Residential,1510,864.0402288,1402,28,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
650000,1918,105,Multi-Family,1636,1739.571892,1280,21,2,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
675000,1584,62,Multi-Family,2689,1532.231921,262,23,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
750000,2355,97,Multi-Family,3653,1665.711703,2479,22,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
889000,1464,99,Multi-Family,1746,2047.882193,1548,16,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
724999,1748,100,Single Family Residential,2505,1854.354278,2349,36,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
749999,1600,109,Multi-Family,1668,1287.07811,1183,25,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
649000,2398,116,Single Family Residential,1169,1011.159783,635,10,3,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
799999,1089,101,Single Family Residential,1962,1804.055443,658,27,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
710000,1188,98,Multi-Family,2130,1147.738938,2029,15,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
749000,1160,65,Single Family Residential,2439,1650.986829,2286,20,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
699989,1672,97,Multi-Family,1165,868.8771842,1249,32,3,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
689950,1536,99,Multi-Family,3710,528.4197968,1170,16,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
799900,1801,113,Multi-Family,1990,1845.56898,640,27,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
799999,2144,101,Multi-Family,868,642.4325717,999,35,4,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
799888,4046,60,Multi-Family,1460,1171.147333,1220,22,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
747000,2049,101,Multi-Family,2646,1355.368466,1255,25,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
799000,2118,118,Multi-Family,642,833.8994047,389,33,6,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
875000,2728,102,Multi-Family,1869,1205.215749,1802,26,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
890000,1394,120,Single Family Residential,1918,1486.747245,1137,24,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1050000,4048,98,Multi-Family,1781,1270.759779,1683,17,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
949000,3147,103,Multi-Family,3018,1646.422668,1529,42,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
935000,2073,101,Multi-Family,3066,2318.21093,2307,37,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
975000,3386,67,Multi-Family,730,583.6235517,500,31,6,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1198000,2362,100,Multi-Family,900,619.5976077,988,34,4,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1080000,2421,101,Multi-Family,824,558.195631,610,32,3,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1060000,2822,0,Multi-Family,6425,935.9222452,1718,40,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1190000,4104,112,Single Family Residential,2623,1676.633244,973,29,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1080000,2592,58,Multi-Family,3068,1619.257329,1573,42,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1199000,5184,96,Multi-Family,791,813.369036,866,37,5,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1150000,5168,94,Multi-Family,2455,1958.639893,1849,22,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1300000,3741,122,Multi-Family,407,798.3817592,476,31,6,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
940000,2200,117,Multi-Family,2243,1883.602128,727,30,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1100000,4180,61,Multi-Family,1640,1002.859302,1631,24,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
975000,3135,111,Multi-Family,1206,661.6667279,1256,20,2,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1095000,3224.438916,60.023669,Vacant Land,1188,540.9417576,1169,24,2,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1199000,4076,100,Multi-Family,2205,1717.56562,2043,18,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1099000,3465,116,Multi-Family,382,285.1858614,364,28,7,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1200000,2840,103,Multi-Family,2428,1550.612064,1224,27,0,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1200000,2478,110,Multi-Family,1801,1156.50382,1685,20,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1150000,3524,100,Multi-Family,3048,2329.022622,2301,39,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
998800,2646,114,Multi-Family,842,794.6101794,364,14,2,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1650000,4542,110,Multi-Family,822,422.9913227,909,27,3,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1595000,3170,117,Multi-Family,1251,1422.848075,1177,25,4,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1670000,5,113,Multi-Family,2223,1751.965792,1259,27,1,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1595000,5033,98,Multi-Family,405,537.4329602,591,26,5,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
1590000,3224.438916,60.023669,Vacant Land,249,515.3746038,117,30,7,Boyle Heights,17388,32.1,Hispanic or Latino,Los Angeles City
155000,202,47,Condo/Co-op,2830,1620.603831,3424,11,1,Westwood,14946,35.8,White,Los Angeles City
569000,728,62,Condo/Co-op,2465,2422.515899,2427,11,18,Westwood,14946,35.8,White,Los Angeles City
595000,621,60,Condo/Co-op,3152,1547.499779,3769,15,0,Westwood,14946,35.8,White,Los Angeles City
805000,805,57,Condo/Co-op,4158,4101.69298,3230,11,25,Westwood,14946,35.8,White,Los Angeles City
785000,893,60,Condo/Co-op,3152,1547.499779,3769,15,0,Westwood,14946,35.8,White,Los Angeles City
679000,598,60,Condo/Co-op,3152,1547.499779,3769,15,0,Westwood,14946,35.8,White,Los Angeles City
754000,1236,60,Condo/Co-op,3407,3766.852255,1639,0,11,Westwood,14946,35.8,White,Los Angeles City
795000,771,60,Condo/Co-op,3152,1547.499779,3769,15,0,Westwood,14946,35.8,White,Los Angeles City
785000,1253,62,Condo/Co-op,4022,2210.507075,4236,8,0,Westwood,14946,35.8,White,Los Angeles City
920000,2616,62,Multi-Family,1028,6571.56816,3992,26,7,Westwood,14946,35.8,White,Los Angeles City
849000,1321,47,Condo/Co-op,2830,1620.603831,3424,11,1,Westwood,14946,35.8,White,Los Angeles City
899000,1252,60,Condo/Co-op,3152,1547.499779,3769,15,0,Westwood,14946,35.8,White,Los Angeles City
995000,1053,57,Condo/Co-op,4158,4101.69298,3230,11,25,Westwood,14946,35.8,White,Los Angeles City
985000,1053,57,Condo/Co-op,4158,4101.69298,3230,11,25,Westwood,14946,35.8,White,Los Angeles City
1025000,1550,62,Condo/Co-op,4048,2233.517726,4251,8,0,Westwood,14946,35.8,White,Los Angeles City
1195000,2259,65,Condo/Co-op,3811,1969.084795,4172,9,0,Westwood,14946,35.8,White,Los Angeles City
1295000,1699,62,Condo/Co-op,4022,2210.507075,4236,8,0,Westwood,14946,35.8,White,Los Angeles City
1325000,1301,59,Condo/Co-op,3707,4066.553281,2692,2,2,Westwood,14946,35.8,White,Los Angeles City
1199000,1682,34,Condo/Co-op,3264,1686.613882,3765,12,0,Westwood,14946,35.8,White,Los Angeles City
1075000,1070,57,Condo/Co-op,4158,4101.69298,3230,11,25,Westwood,14946,35.8,White,Los Angeles City
1085000,1180,60,Condo/Co-op,3152,1547.499779,3769,15,0,Westwood,14946,35.8,White,Los Angeles City
995000,1711,42,Condo/Co-op,3025,1636.752501,3574,11,0,Westwood,14946,35.8,White,Los Angeles City
1295000,2146,42,Townhouse,3025,1636.752501,3574,11,0,Westwood,14946,35.8,White,Los Angeles City
1295000,2002,61,Condo/Co-op,3487,2197.751593,3552,19,15,Westwood,14946,35.8,White,Los Angeles City
1299000,1334,59,Condo/Co-op,3691,4091.327652,2735,2,2,Westwood,14946,35.8,White,Los Angeles City
