PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
860000,2700,30,Multi-Family,784.4675181,1290.774047,877.5237795,11,4,The Bronx,34920,31,Hispanic or Latino,New York City
599000,2179,124,Single Family Residential,586.2655563,1531.100692,1005.452689,13,1,The Bronx,34920,31,Hispanic or Latino,New York City
549000,1250,68,Single Family Residential,567.6564247,1535.591316,996.7066293,13,1,The Bronx,34920,31,Hispanic or Latino,New York City
875000,1829.844584,30,Multi-Family,750.2487008,1334.008852,927.9455768,12,4,The Bronx,34920,31,Hispanic or Latino,New York City
1100000,2772,88,Multi-Family,396.3138922,1478.549235,868.3014207,12,1,The Bronx,34920,31,Hispanic or Latino,New York City
2200000,1829.844584,103,Multi-Family,772.3139676,1020.906136,139.8301454,16,11,The Bronx,34920,31,Hispanic or Latino,New York City
1350000,2992,93,Multi-Family,393.3283907,3017.477685,578.5134641,8,22,The Bronx,34920,31,Hispanic or Latino,New York City
950000,2100,15,Multi-Family,684.1566504,2657.207348,293.5012881,19,23,The Bronx,34920,31,Hispanic or Latino,New York City
965000,1829.844584,63,Multi-Family,289.8397398,2646.361848,559.6935795,12,17,The Bronx,34920,31,Hispanic or Latino,New York City
975000,1920,113,Multi-Family,519.2562109,2430.522797,459.2090942,16,20,The Bronx,34920,31,Hispanic or Latino,New York City
695000,2146,93,Multi-Family,765.5263241,2161.647563,601.0135984,22,21,The Bronx,34920,31,Hispanic or Latino,New York City
900000,2880,122,Multi-Family,644.2442671,2267.036955,711.7279308,19,20,The Bronx,34920,31,Hispanic or Latino,New York City
1399999,1829.844584,97,Multi-Family,995.7667173,2385.908196,424.2274754,17,26,The Bronx,34920,31,Hispanic or Latino,New York City
2000000,1829.844584,66.235406,Vacant Land,466.4329333,2453.649035,755.7184839,15,16,The Bronx,34920,31,Hispanic or Latino,New York City
355000,1026,73,Condo/Co-op,1454.372844,1456.539221,679.7644733,21,17,The Bronx,34920,31,Hispanic or Latino,New York City
1125000,2500,16,Multi-Family,1171.236221,1801.961969,953.8813352,24,20,The Bronx,34920,31,Hispanic or Latino,New York City
1149000,2487,113,Multi-Family,1131.763251,1864.728303,1010.989628,23,18,The Bronx,34920,31,Hispanic or Latino,New York City
115000,500,66.235406,Condo/Co-op,1539.834759,1216.382401,321.1548473,20,5,The Bronx,34920,31,Hispanic or Latino,New York City
625000,2318,18,Multi-Family,1493.246158,1132.353984,411.429419,17,4,The Bronx,34920,31,Hispanic or Latino,New York City
1099000,1829.844584,97,Multi-Family,467.3153823,2264.54707,447.7242772,1,11,The Bronx,34920,31,Hispanic or Latino,New York City
799000,2280,32,Multi-Family,833.802647,986.007037,378.7866062,10,4,The Bronx,34920,31,Hispanic or Latino,New York City
1299000,1829.844584,113,Multi-Family,665.6481552,1657.808302,384.4235407,3,6,The Bronx,34920,31,Hispanic or Latino,New York City
999000,2100,32,Multi-Family,748.1639523,1549.402281,283.3055825,5,5,The Bronx,34920,31,Hispanic or Latino,New York City
599000,1483,113,Single Family Residential,607.1894463,1578.776781,306.8223246,10,5,The Bronx,34920,31,Hispanic or Latino,New York City
499000,1829.844584,34,Single Family Residential,614.7501749,1099.177324,239.123795,11,2,The Bronx,34920,31,Hispanic or Latino,New York City
674999,2600,27,Multi-Family,338.530974,1780.186329,565.1690293,7,8,The Bronx,34920,31,Hispanic or Latino,New York City
829000,2276,122,Multi-Family,366.8077181,960.5784284,487.6317154,12,1,The Bronx,34920,31,Hispanic or Latino,New York City
