city,neighborhood,SQFT,house.age,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,population.density,median.age,PROP_TYPE,dominant.race,average_PRICE
Chicago,South Shore,1808.9050402068967,93.29341725913794,461.63793103448273,1121.0344827586207,4120.922413793103,42.05172413793103,7.931034482758621,18768.0,38.5,Multi-Family,Black,250207.6379310345
Chicago,Uptown,1780.6508923235294,60.732147525294124,206.8235294117647,749.9852941176471,695.7205882352941,58.5735294117647,47.05882352941177,18389.0,37.6,Condo/Co-op,White,489816.1323529412
Chicago,Washington Park,1669.3357794666667,95.07501234466667,409.46666666666664,1608.4333333333334,865.4666666666667,48.13333333333333,3.2333333333333334,11203.0,33.1,Condo/Co-op,Black,402140.0
Chicago,West Englewood,1572.0481406031747,104.43480977555555,445.5079365079365,3060.873015873016,1603.5555555555557,35.36507936507937,0.5396825396825397,12178.0,40.9,Single Family Residential,Black,177255.47619047618
Chicago,West Garfield Park,1868.7789280000002,115.18894691870968,380.2903225806452,1804.1935483870968,702.483870967742,42.54838709677419,1.1612903225806452,21045.0,34.8,Multi-Family,Black,263090.32258064515
Chicago,Woodlawn,1986.6795799565218,70.81134115434783,494.8478260869565,1763.9782608695652,848.8478260869565,50.47826086956522,4.717391304347826,15747.0,36.5,Multi-Family,Black,457834.6956521739
Los Angeles City,Boyle Heights,2416.5292610666665,96.0682446,1994.65,1252.7511965,1276.05,26.35,1.7,17388.0,32.1,Multi-Family,Hispanic or Latino,901506.1833333333
Los Angeles City,Chinatown,3216.0,101.0,1570.0,1334.656742,1250.0,16.0,4.0,31185.333333333332,37.1,Multi-Family,Asian,1200000.0
Los Angeles City,Downtown,2624.670039280899,91.22658070786517,1301.1685393258426,2724.1161120707866,1749.943820224719,38.1123595505618,4.056179775280899,66111.0,38.2,Multi-Family,White,1094195.1460674158
Los Angeles City,East Hollywood,2625.2503776,63.356706216666666,1472.4666666666667,2945.1714934166666,2102.2166666666667,6.266666666666667,3.1,25956.0,38.3,Single Family Residential,Hispanic or Latino,1703148.0666666667
Los Angeles City,Hyde Park,3512.0,75.0,213.0,4429.5115,886.0,25.0,0.0,16998.0,35.5,Multi-Family,White,1495000.0
Los Angeles City,Watts,1552.75,59.0,872.3125,2488.3986381249997,1155.25,16.9375,1.875,22298.0,28.6,Multi-Family,Hispanic or Latino,700536.25
Los Angeles City,Westwood,2165.3757181573037,52.37105246067416,3313.8988764044943,2425.497407168539,3584.955056179775,10.224719101123595,4.617977528089888,14946.0,35.8,Condo/Co-op,White,1973011.2134831462
New York City,Bensonhurst,1671.5765742222222,81.27777777777777,1330.0594463166667,3607.435586166667,499.59090494888886,8.277777777777779,26.38888888888889,44161.0,39.1,Multi-Family,White,1438432.611111111
New York City,Borough Park,1561.8963893333332,106.0,1410.5639319,2109.9124773333333,474.8430424666667,5.333333333333333,9.0,55000.0,,Multi-Family,White,1572666.6666666667
New York City,Broad Channel,1828.7852782222221,73.91504511111111,2281.5305826666668,7081.250887777777,982.3798509444446,0.4444444444444444,0.3333333333333333,119000.0,40.0,Single Family Residential,White,559333.2222222222
New York City,Brownsville,1805.9617820689655,58.86206896551724,809.7726935206897,1312.3301972206898,542.2281101344827,15.241379310344827,2.5172413793103448,35804.0,41.0,Multi-Family,Black,943964.448275862
New York City,Concourse,1024.622234909091,78.0909090909091,235.7106821,1261.2858607636365,469.1560511454545,20.09090909090909,12.727272727272727,101566.0,33.0,Condo/Co-op,Hispanic or Latino,297854.45454545453
New York City,Fordham,905.8948194666666,72.93333333333334,209.839323823,1407.6921908666666,796.7559450866667,21.333333333333332,11.2,87329.0,31.0,Condo/Co-op,Hispanic or Latino,210650.0
New York City,Inwood,1634.3378336,99.8,2738.6027757,2393.084477,1682.5119804,0.9,0.0,50696.0,40.8,Single Family Residential,Hispanic or Latino,740100.0
