PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
415000,2000,101,Single Family Residential,1092,1743,372,48,0,Austin,18763,36.1,Black,Chicago
179700,2025.422782,68.46433862,Multi-Family,543,3575,1282,37,0,Austin,18763,36.1,Black,Chicago
308900,1232,68.46433862,Single Family Residential,778,3806,1538,46,1,Austin,18763,36.1,Black,Chicago
379000,2025.422782,113,Multi-Family,647,3327,1051,37,0,Austin,18763,36.1,Black,Chicago
564999,2025.422782,123,Multi-Family,529,3804,1350,30,0,Austin,18763,36.1,Black,Chicago
579000,2025.422782,115,Multi-Family,618,4024,1735,41,1,Austin,18763,36.1,Black,Chicago
164000,1000,49,Condo/Co-op,318,1184,5244,22,2,Austin,18763,36.1,Black,Chicago
399999,1159,113,Single Family Residential,45,666,4991,21,2,Austin,18763,36.1,Black,Chicago
279999,1000,101,Single Family Residential,154,1063,460,17,0,Austin,18763,36.1,Black,Chicago
387000,2025.422782,100,Multi-Family,717,1328,808,14,2,Austin,18763,36.1,Black,Chicago
125000,900,93,Condo/Co-op,565,1578,974,47,5,Austin,18763,36.1,Black,Chicago
97500,2025.422782,54,Single Family Residential,448,1630,855,47,1,Austin,18763,36.1,Black,Chicago
197500,2025.422782,123,Multi-Family,555,1461,931,45,5,Austin,18763,36.1,Black,Chicago
279500,2025.422782,133,Single Family Residential,250,1119,1201,48,5,Austin,18763,36.1,Black,Chicago
344900,2025.422782,108,Multi-Family,308,917,1430,62,2,Austin,18763,36.1,Black,Chicago
465000,2025.422782,68.46433862,Multi-Family,262,772,1557,61,2,Austin,18763,36.1,Black,Chicago
339999,2018,14,Townhouse,1117,3968,4257,39,1,Austin,18763,36.1,Black,Chicago
295000,2025.422782,90,Multi-Family,885,4124,3805,39,1,Austin,18763,36.1,Black,Chicago
300000,1319,108,Single Family Residential,881,4130,3787,39,1,Austin,18763,36.1,Black,Chicago
275000,1800,98,Single Family Residential,936,3987,3684,41,0,Austin,18763,36.1,Black,Chicago
375000,2700,15,Condo/Co-op,849,3703,4156,40,1,Austin,18763,36.1,Black,Chicago
345000,936,110,Single Family Residential,317,4621,3112,44,2,Austin,18763,36.1,Black,Chicago
335500,1565,84,Single Family Residential,295,4494,3099,47,2,Austin,18763,36.1,Black,Chicago
379900,2025.422782,65,Multi-Family,173,4313,2992,48,2,Austin,18763,36.1,Black,Chicago
459900,2025.422782,68.46433862,Multi-Family,114,4620,2687,41,1,Austin,18763,36.1,Black,Chicago
449900,2025.422782,98,Multi-Family,390,4486,2534,46,2,Austin,18763,36.1,Black,Chicago
750000,2568,98,Multi-Family,601,4163,3322,36,0,Austin,18763,36.1,Black,Chicago
689000,2025.422782,96,Multi-Family,294,3789,2733,44,2,Austin,18763,36.1,Black,Chicago
79900,950,101,Condo/Co-op,522,2611,3428,37,0,Austin,18763,36.1,Black,Chicago
350000,2025.422782,98,Multi-Family,181,1550,3881,31,2,Austin,18763,36.1,Black,Chicago
339000,980,98,Single Family Residential,418,2186,3452,40,0,Austin,18763,36.1,Black,Chicago
440000,2025.422782,68.46433862,Multi-Family,294,2304,3902,27,0,Austin,18763,36.1,Black,Chicago
110000,1184,125,Single Family Residential,249,2771,356,27,2,Austin,18763,36.1,Black,Chicago
200000,840,132,Single Family Residential,319,2920,521,21,0,Austin,18763,36.1,Black,Chicago
460000,2025.422782,68.46433862,Multi-Family,202,1729,1937,32,28,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
475000,2025.422782,136,Multi-Family,242,1841,1790,34,32,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
1200000,2025.422782,3,Single Family Residential,103,1869,1469,38,38,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
249000,1334,123,Single Family Residential,319,2762,3073,38,8,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
815000,2025.422782,3,Single Family Residential,271,2853,3229,35,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
149000,1104,68.46433862,Single Family Residential,260,1125,1864,51,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
89900,630,133,Single Family Residential,471,552,1213,38,12,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
460000,3049,68.46433862,Single Family Residential,244,409,1360,51,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
339900,2025.422782,121,Multi-Family,350,337,1285,51,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
439000,2025.422782,100,Multi-Family,253,293,1179,51,8,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
450000,2025.422782,68.46433862,Multi-Family,181,731,1682,52,8,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
415000,2025.422782,68.46433862,Multi-Family,105,305,1041,49,8,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
320000,1500,68.46433862,Single Family Residential,119,2180,3084,42,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
359900,2025.422782,105,Multi-Family,242,1500,2305,53,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
605000,1800,68.46433862,Single Family Residential,246,1620,2431,46,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
634900,2473,0,Single Family Residential,183,2075,3109,43,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
654900,2473,0,Single Family Residential,187,2056,3119,43,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
89000,920,113,Single Family Residential,442,1622,2475,49,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
150000,2025.422782,118,Multi-Family,581,1253,2024,46,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
319900,2025.422782,115,Multi-Family,574,1077,1930,46,4,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
300000,2025.422782,111,Multi-Family,484,2287,3040,51,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
347500,1150,68.46433862,Single Family Residential,506,1956,2796,44,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
